submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
1/28/22,GA,"2,346,518","1,824,347","522,171","18,785","2,900","32,868","27,502","5,366",150,23,1/29/22 14:30,Agree,Agree
1/28/22,PR,"453,669","257,022","196,647","3,404","2,101","3,809","3,174",635,36,6,1/29/22 14:30,Agree,Agree
1/28/22,FL,"5,501,599",,,"22,705","5,753","64,647",,,7,1,1/29/22 14:30,Not agree,Not agree
1/28/22,UT,"875,251","875,251",0,"6,166",0,"4,107","3,944",163,10,-1,1/29/22 14:30,Agree,Agree
1/28/22,HI,"208,253",,,"1,848",207,"1,152",,,5,0,1/29/22 14:30,Not agree,Not agree
1/28/22,PW,"1,407",,,14,0,0,,,0,0,1/29/22 14:30,,
1/28/22,OK,"963,655","713,834","249,821","10,539","3,903","12,044","9,037","3,007",0,0,1/29/22 14:30,Agree,Agree
1/28/22,AS,18,,,0,0,0,,,0,0,1/29/22 14:30,,
1/28/22,KS,"722,824","544,746","178,078","12,986","3,890","7,522",,,134,33,1/29/22 14:30,Agree,N/A
1/28/22,AR,"768,061",,,"5,660",0,"9,616",,,20,0,1/29/22 14:30,Not agree,Not agree
1/28/22,SD,"225,383",,,"1,145",327,"2,637","2,259",378,9,0,1/29/22 14:30,N/A,Agree
1/28/22,TN,"1,844,780","1,421,017","423,763","17,692","3,955","22,452","16,905","5,547",73,32,1/29/22 14:30,Agree,Agree
1/28/22,NY,"2,537,050",,,"8,558",0,"25,748",,,85,0,1/29/22 14:30,Not agree,Not agree
1/28/22,RMI,7,7,0,0,0,0,0,0,0,0,1/29/22 14:30,Agree,Agree
1/28/22,WI,"1,503,420","1,321,190","182,230","8,180","1,051","12,291","11,062","1,229",75,10,1/29/22 14:30,Agree,Agree
1/28/22,NH,"272,492",,,"2,429",0,"2,205",,,12,0,1/29/22 14:30,Not agree,Not agree
1/28/22,ID,"376,095","295,349","80,746","3,653",713,"4,400","3,615",785,35,9,1/29/22 14:30,Agree,Agree
1/28/22,MO,"1,314,435",,,"9,106","2,109","17,111",,,9,-1,1/29/22 14:30,Not agree,Not agree
1/28/22,ND,"221,025","168,783","52,242","2,065",562,"2,093",,,3,0,1/29/22 14:30,Agree,Not agree
1/28/22,DE,"246,037","224,548","21,489","1,307",95,"2,498","2,289",209,4,1,1/29/22 14:30,Agree,Agree
1/28/22,CA,"8,213,786","7,706,395","507,391","76,729",0,"78,825",,,254,0,1/29/22 14:30,Agree,Not agree
1/28/22,VA,"1,535,349","1,095,768","439,581","9,743","2,461","16,168","13,497","2,671",41,11,1/29/22 14:30,Agree,Agree
1/28/22,NJ,"2,102,227","1,817,614","284,613","10,118",560,"31,320","28,413","2,907",112,0,1/29/22 14:30,Agree,Agree
1/28/22,AZ,"1,829,406","1,629,084","200,322","15,610","1,739","26,001","22,366","3,635",69,7,1/29/22 14:30,Agree,Agree
1/28/22,MN,"1,309,665",,,"14,548","2,411","11,532","10,693",839,43,0,1/29/22 14:30,N/A,Agree
1/28/22,FSM,7,7,0,0,0,0,0,0,0,0,1/29/22 14:30,Agree,Agree
1/28/22,KY,"1,140,887","798,522","342,365","15,706","4,913","12,890","11,296","1,594",34,7,1/29/22 14:30,Agree,Agree
1/28/22,NE,"435,358","311,982","123,376",0,0,"3,666","3,037",629,0,0,1/29/22 14:30,Agree,Agree
1/28/22,MS,"717,666","408,523","309,143","5,533","2,627","10,831","7,254","3,577",25,8,1/29/22 14:30,Agree,Agree
1/28/22,AL,"1,206,308","876,287","330,021","10,748","2,617","17,086","13,231","3,855",39,5,1/29/22 14:30,Agree,Agree
1/28/22,ME,"174,217","128,129","46,088","1,266",286,"1,737","1,588",149,4,0,1/29/22 14:30,Agree,Agree
1/28/22,VT,"94,513",,,0,0,503,,,0,0,1/29/22 14:30,Not agree,Not agree
1/28/22,MI,"2,235,180","1,959,371","275,809","14,999","2,861","32,197","29,778","2,419",25,28,1/29/22 14:30,Agree,Agree
1/28/22,WA,"1,294,498",,,"13,483","2,025","10,699",,,52,0,1/29/22 14:30,N/A,N/A
1/28/22,NC,"2,374,866","2,003,445","371,421","22,631","3,713","20,595","18,087","2,508",78,12,1/29/22 14:30,Agree,Agree
1/28/22,MT,"238,801","189,804","48,997","2,834",974,"2,993","2,993",0,3,0,1/29/22 14:30,Agree,Agree
1/28/22,IL,"2,897,174","2,897,174",0,"15,453",0,"34,439","30,688","3,751",141,21,1/29/22 14:30,Agree,Agree
1/28/22,VI,"14,802",,,46,0,99,,,1,0,1/29/22 14:30,,
1/28/22,MD,"949,880",,,"3,011",0,"13,387","13,131",256,53,0,1/29/22 14:30,N/A,Agree
1/28/22,GU,"31,440",,,402,0,285,,,0,0,1/29/22 14:30,Not agree,Not agree
1/28/22,NV,"648,088","615,774","32,314","4,393",394,"8,914",,,39,0,1/29/22 14:30,Agree,
1/28/22,IN,"1,604,072",,,"17,067",0,"21,301","20,508",793,136,28,1/29/22 14:30,Not agree,Agree
1/28/22,CT,"696,070","624,656","71,414","2,684",255,"9,985","8,142","1,843",77,19,1/29/22 14:30,Agree,Agree
1/28/22,RI,"341,407",,,"1,836",0,"3,302",,,14,0,1/29/22 14:30,Not agree,N/A
1/28/22,LA,"1,105,273",,,"6,483","1,382","15,631","13,516","2,115",61,9,1/29/22 14:30,Not agree,Agree
1/28/22,DC,"129,817",,,0,0,"1,284",,,0,0,1/29/22 14:30,,
1/28/22,SC,"1,349,276","1,064,810","284,466","10,892","2,369","15,266",,,85,15,1/29/22 14:30,Agree,Not agree
1/28/22,WY,"144,526","113,832","30,694","1,397",309,"1,625","1,625",0,0,0,1/29/22 14:30,Agree,Agree
1/28/22,OR,"620,652","620,652",0,"7,431",0,"6,086","6,086",0,19,0,1/29/22 14:30,Agree,Agree
1/28/22,AK,"205,241",,,"5,689",0,"1,052",,,4,0,1/29/22 14:30,N/A,N/A
1/28/22,NYC,"2,226,950","1,890,107","336,843",0,0,"38,173","32,716","5,457",0,0,1/29/22 14:30,Agree,Agree
1/28/22,WV,"438,889","347,833","91,056","4,668",591,"5,743",,,46,7,1/29/22 14:30,Agree,Not agree
1/28/22,TX,"6,122,432",,,"38,682","7,790","77,780",,,225,0,1/29/22 14:30,Not agree,Not agree
1/28/22,CO,"1,240,361","1,133,083","107,278","7,083",994,"11,061","9,754","1,307",56,9,1/29/22 14:30,Agree,Agree
1/28/22,MA,"1,598,451","1,473,496","124,955","8,149",968,"21,909","21,336",573,70,5,1/29/22 14:30,Agree,Agree
1/28/22,MP,"4,772","4,772",0,80,0,23,23,0,0,0,1/29/22 14:30,Agree,Agree
1/28/22,PA,"2,637,717","2,186,339","451,378","15,583","2,751","40,394",,,137,-291,1/29/22 14:30,Agree,Not agree
1/28/22,OH,"2,562,412","1,994,049","568,363","9,440","2,867","33,071","33,071",0,582,0,1/29/22 14:30,Agree,Agree
1/28/22,IA,"712,288",,,"8,922","2,328","8,501",,,0,0,1/29/22 14:30,Not agree,Not agree
1/28/22,NM,"470,513",,,"5,269",0,"6,417",,,26,0,1/29/22 14:30,N/A,Not agree
1/27/22,MP,"4,692","4,692",0,128,0,23,23,0,0,0,1/28/22 14:17,Agree,Agree
1/27/22,AR,"762,401",,,"6,016",0,"9,596",,,22,0,1/28/22 14:17,Not agree,Not agree
1/27/22,FL,"5,478,894",,,"30,606","9,880","64,640",,,5,0,1/28/22 14:17,Not agree,Not agree
1/27/22,KS,"709,838","535,650","174,188",0,0,"7,388",,,0,0,1/28/22 14:17,Agree,N/A
1/27/22,HI,"206,405",,,"2,320",287,"1,147",,,10,0,1/28/22 14:17,Not agree,Not agree
1/27/22,PW,"1,393",,,492,0,0,,,0,0,1/28/22 14:17,,
1/27/22,OK,"953,116","707,198","245,918","8,655","2,559","12,044","9,037","3,007",0,0,1/28/22 14:17,Agree,Agree
1/27/22,PR,"450,265","255,719","194,546",0,0,"3,773","3,144",629,0,0,1/28/22 14:17,Agree,Agree
1/27/22,SD,"224,238",,,"1,358",429,"2,628","2,250",378,5,0,1/28/22 14:17,N/A,Agree
1/27/22,PA,"2,622,134","2,173,507","448,627","16,695","1,316","40,257",,,325,262,1/28/22 14:17,Agree,Not agree
1/27/22,NY,"2,528,492",,,"10,913",0,"25,663",,,76,0,1/28/22 14:17,Not agree,Not agree
1/27/22,DE,"244,730","223,336","21,394","1,528",208,"2,494","2,286",208,1,0,1/28/22 14:17,Agree,Agree
1/27/22,WA,"1,281,015",,,"23,097","5,729","10,647",,,67,0,1/28/22 14:17,N/A,N/A
1/27/22,NC,"2,352,235","1,984,527","367,708","28,753","4,138","20,517","18,021","2,496",77,9,1/28/22 14:17,Agree,Agree
1/27/22,MS,"712,133","405,617","306,516","6,535","3,007","10,806","7,237","3,569",32,10,1/28/22 14:17,Agree,Agree
1/27/22,MO,"1,305,329",,,"10,089","2,466","17,102",,,10,1,1/28/22 14:17,Not agree,Not agree
1/27/22,MD,"946,869",,,"3,256",0,"13,334","13,078",256,54,0,1/28/22 14:17,N/A,Agree
1/27/22,IN,"1,587,005",,,"12,198",0,"21,165","20,400",765,109,5,1/28/22 14:17,Not agree,Agree
1/27/22,MI,"2,220,181","1,947,233","272,948","16,535","2,364","32,051","29,660","2,391",66,11,1/28/22 14:17,Agree,Agree
1/27/22,NH,"270,063",,,"2,263",0,"2,193",,,20,0,1/28/22 14:17,Not agree,Not agree
1/27/22,MT,"235,967","187,944","48,023","2,911",957,"2,990","2,990",0,0,0,1/28/22 14:17,Agree,Agree
1/27/22,NV,"643,695","611,775","31,920","4,764",642,"8,875",,,38,0,1/28/22 14:17,Agree,
1/27/22,ID,"372,442","292,409","80,033","3,777",846,"4,365","3,589",776,8,4,1/28/22 14:17,Agree,Agree
1/27/22,WI,"1,495,240","1,314,061","181,179","9,186","1,102","12,216","10,997","1,219",61,14,1/28/22 14:17,Agree,Agree
1/27/22,AL,"1,195,560","868,156","327,404","11,174","2,573","17,047","13,197","3,850",46,12,1/28/22 14:17,Agree,Agree
1/27/22,ND,"218,960","167,280","51,680","2,146",937,"2,090",,,2,0,1/28/22 14:17,Agree,Not agree
1/27/22,MN,"1,295,117",,,"14,617","2,735","11,489","10,650",839,67,10,1/28/22 14:17,N/A,Agree
1/27/22,AZ,"1,813,796","1,615,213","198,583","14,293","2,978","25,932","22,304","3,628",33,16,1/28/22 14:17,Agree,Agree
1/27/22,WY,"143,129","112,744","30,385","2,039",268,"1,625","1,625",0,0,0,1/28/22 14:17,Agree,Agree
1/27/22,SC,"1,338,384","1,056,287","282,097","9,934","2,660","15,181",,,24,6,1/28/22 14:17,Agree,Not agree
1/27/22,DC,"129,817",,,338,0,"1,284",,,2,0,1/28/22 14:17,,
1/27/22,VA,"1,525,606","1,088,486","437,120","10,728","3,527","16,127","13,467","2,660",38,4,1/28/22 14:17,Agree,Agree
1/27/22,LA,"1,098,790",,,"6,629","1,870","15,570","13,464","2,106",47,11,1/28/22 14:17,Not agree,Agree
1/27/22,IL,"2,881,721","2,881,721",0,"14,422",0,"34,298","30,568","3,730",167,18,1/28/22 14:17,Agree,Agree
1/27/22,GU,"31,038",,,817,56,285,,,1,0,1/28/22 14:17,Not agree,Not agree
1/27/22,VI,"14,756",,,67,0,98,,,0,0,1/28/22 14:17,,
1/27/22,VT,"94,513",,,"1,461",61,503,,,2,0,1/28/22 14:17,Not agree,Not agree
1/27/22,NE,"435,358","311,982","123,376","2,794",985,"3,666","3,037",629,9,5,1/28/22 14:17,Agree,Agree
1/27/22,CT,"693,386","622,227","71,159","3,036",310,"9,908","8,084","1,824",7,-4,1/28/22 14:17,Agree,Agree
1/27/22,ME,"172,951","127,149","45,802","1,427",324,"1,733","1,584",149,5,1,1/28/22 14:17,Agree,Agree
1/27/22,CA,"8,137,057","7,629,666","507,391","120,403","60,424","78,571",,,255,0,1/28/22 14:17,Agree,Not agree
1/27/22,OR,"613,221","613,221",0,"7,858",0,"6,067","6,067",0,19,0,1/28/22 14:17,Agree,Agree
1/27/22,KY,"1,125,181","787,729","337,452","12,530","3,806","12,856","11,269","1,587",39,2,1/28/22 14:17,Agree,Agree
1/27/22,FSM,7,7,0,0,0,0,0,0,0,0,1/28/22 14:17,Agree,Agree
1/27/22,RI,"339,571",,,"1,622",0,"3,288",,,11,0,1/28/22 14:09,Not agree,N/A
1/27/22,NJ,"2,092,109","1,808,056","284,053","6,724",832,"31,208","28,301","2,907",115,0,1/28/22 14:17,Agree,Agree
1/27/22,TX,"6,083,750",,,"34,796","4,049","77,555",,,234,0,1/28/22 14:17,Not agree,Not agree
1/27/22,UT,"869,085","869,085",0,"7,033",0,"4,097","3,933",164,6,2,1/28/22 14:17,Agree,Agree
1/27/22,AS,18,,,0,0,0,,,0,0,1/28/22 14:17,,
1/27/22,WV,"434,221","343,756","90,465","5,205",833,"5,697",,,23,3,1/28/22 14:17,Agree,Not agree
1/27/22,MA,"1,590,302","1,466,315","123,987","9,697","1,081","21,839","21,271",568,87,3,1/28/22 14:17,Agree,Agree
1/27/22,NYC,"2,226,950","1,890,107","336,843","5,168",211,"38,173","32,716","5,457",132,9,1/28/22 14:17,Agree,Agree
1/27/22,GA,"2,327,733","1,808,462","519,271","21,708","4,590","32,718","27,375","5,343",115,24,1/28/22 14:17,Agree,Agree
1/27/22,AK,"199,552",,,0,0,"1,048",,,0,0,1/28/22 14:17,N/A,N/A
1/27/22,CO,"1,233,278","1,126,994","106,284","10,385",915,"11,005","9,707","1,298",52,11,1/28/22 14:17,Agree,Agree
1/27/22,RMI,7,7,0,0,0,0,0,0,0,0,1/28/22 14:17,Agree,Agree
1/27/22,TN,"1,827,088","1,407,280","419,808","14,108","3,168","22,379","16,864","5,515",67,24,1/28/22 14:17,Agree,Agree
1/27/22,NM,"465,244",,,"5,182",0,"6,391",,,34,0,1/28/22 14:17,N/A,Not agree
1/27/22,IA,"703,366",,,0,0,"8,501",,,0,0,1/28/22 14:17,Not agree,Not agree
1/27/22,OH,"2,552,972","1,987,476","565,496","12,108","3,940","32,489","32,489",0,0,0,1/28/22 14:17,Agree,Agree
1/26/22,FL,"5,448,288",,,"28,113","6,709","64,635",,,6,1,1/26/22 0:00,Not agree,Not agree
1/26/22,MP,"4,564","4,564",0,124,0,23,23,0,1,0,1/27/22 14:52,Agree,Agree
1/26/22,OK,"944,461","701,102","243,359","13,428","3,035","12,044","9,037","3,007",0,0,1/27/22 14:52,Agree,Agree
1/26/22,WV,"429,016","339,384","89,632","4,003","1,184","5,674",,,24,1,1/27/22 14:52,Agree,Not agree
1/26/22,TX,"6,048,954",,,"30,734","5,466","77,321",,,263,0,1/27/22 14:52,Not agree,Not agree
1/26/22,UT,"862,052","862,052",0,"7,493",0,"4,091","3,929",162,18,0,1/27/22 14:52,Agree,Agree
1/26/22,NY,"2,517,579",,,"10,134",0,"25,587",,,80,0,1/27/22 14:52,Not agree,Not agree
1/26/22,RMI,7,7,0,0,0,0,0,0,0,0,1/27/22 14:52,Agree,Agree
1/26/22,MT,"233,056","185,990","47,066","3,090","1,516","2,990","2,990",0,3,0,1/27/22 14:52,Agree,Agree
1/26/22,VT,"93,052",,,489,60,501,,,3,0,1/27/22 14:52,Not agree,Not agree
1/26/22,CA,"8,016,654","7,569,687","446,967","87,218",0,"78,316",,,198,0,1/27/22 14:52,Agree,Not agree
1/26/22,DE,"243,202","222,016","21,186",878,43,"2,493","2,285",208,4,0,1/27/22 14:52,Agree,Agree
1/26/22,MS,"705,598","402,089","303,509","6,596","3,569","10,774","7,215","3,559",19,4,1/27/22 14:52,Agree,Agree
1/26/22,IN,"1,574,807",,,"4,957",0,"21,056","20,296",760,128,-1,1/27/22 14:52,Not agree,Agree
1/26/22,VI,"14,689",,,168,0,98,,,1,0,1/27/22 14:52,,
1/26/22,NV,"638,931","607,653","31,278","4,976","1,496","8,837",,,40,0,1/27/22 14:52,Agree,
1/26/22,ND,"216,814","166,071","50,743","2,355","1,145","2,088",,,10,0,1/27/22 14:52,Agree,Not agree
1/26/22,GU,"30,221",,,743,20,284,,,1,0,1/27/22 14:52,Not agree,Not agree
1/26/22,NH,"267,800",,,"1,800",0,"2,173",,,3,0,1/27/22 14:52,Not agree,Not agree
1/26/22,AZ,"1,799,503","1,603,898","195,605","18,229","2,770","25,899","22,287","3,612",275,93,1/27/22 14:52,Agree,Agree
1/26/22,WY,"141,090","110,973","30,117","1,629",382,"1,625","1,625",0,0,0,1/27/22 14:52,Agree,Agree
1/26/22,SC,"1,328,450","1,049,013","279,437","4,085","1,123","15,157",,,18,3,1/26/22 0:00,Agree,Not agree
1/26/22,VA,"1,514,878","1,081,285","433,593","11,741","3,173","16,089","13,433","2,656",35,9,1/27/22 14:52,Agree,Agree
1/26/22,NJ,"2,085,385","1,802,164","283,221","7,127","1,163","31,093","28,186","2,907",143,0,1/27/22 14:52,Agree,Agree
1/26/22,MN,"1,280,500",,,"15,565","2,463","11,422","10,593",829,52,2,1/27/22 14:52,N/A,Agree
1/26/22,FSM,7,7,0,0,0,0,0,0,0,0,1/27/22 14:52,Agree,Agree
1/26/22,NE,"432,564","310,173","122,391","3,615","1,304","3,657","3,033",624,25,4,1/27/22 14:52,Agree,Agree
1/26/22,MO,"1,295,240",,,"10,200","2,454","17,092",,,22,4,1/27/22 14:52,Not agree,Not agree
1/26/22,WA,"1,257,918",,,"41,374","8,087","10,580",,,40,0,1/27/22 14:52,N/A,N/A
1/26/22,CT,"690,350","619,501","70,849","2,795",321,"9,901","8,073","1,828",128,29,1/27/22 14:52,Agree,Agree
1/26/22,AL,"1,184,386","859,555","324,831","8,858","3,106","17,001","13,163","3,838",0,0,1/27/22 14:52,Agree,Agree
1/26/22,MI,"2,203,646","1,933,062","270,584","19,270","4,582","31,985","29,605","2,380",13,49,1/27/22 14:52,Agree,Agree
1/26/22,WI,"1,486,054","1,305,977","180,077","8,731","1,050","12,155","10,950","1,205",43,1,1/27/22 14:52,Agree,Agree
1/26/22,MD,"943,613",,,"2,900",0,"13,280","13,024",256,47,1,1/27/22 14:52,N/A,Agree
1/26/22,ME,"171,524","126,046","45,478","1,527",338,"1,728","1,580",148,12,3,1/27/22 14:52,Agree,Agree
1/26/22,IL,"2,867,299","2,867,299",0,"15,732",0,"34,131","30,419","3,712",189,46,1/27/22 14:52,Agree,Agree
1/26/22,ID,"368,665","289,478","79,187","4,088",982,"4,357","3,585",772,12,0,1/27/22 14:52,Agree,Agree
1/26/22,NC,"2,323,482","1,959,912","363,570","20,286","5,781","20,440","17,953","2,487",105,26,1/27/22 14:52,Agree,Agree
1/26/22,OR,"605,363","605,363",0,"8,191",0,"6,048","6,048",0,54,0,1/27/22 14:52,Agree,Agree
1/26/22,KY,"1,112,651","779,005","333,646","12,554","4,877","12,817","11,232","1,585",31,2,1/27/22 14:52,Agree,Agree
1/26/22,LA,"1,092,161",,,"7,713","3,117","15,523","13,428","2,095",47,7,1/27/22 14:52,Not agree,Agree
1/26/22,RI,"337,949",,,"1,918",0,"3,277",,,7,0,1/28/22 14:09,Not agree,N/A
1/26/22,DC,"129,479",,,740,0,"1,282",,,4,0,1/27/22 14:52,,
1/26/22,CO,"1,222,893","1,117,524","105,369","6,962","1,247","10,953","9,666","1,287",20,4,1/27/22 14:52,Agree,Agree
1/26/22,PW,901,,,0,0,0,,,0,0,1/27/22 14:52,,
1/26/22,AS,18,,,0,0,0,,,0,0,1/27/22 14:52,,
1/26/22,AR,"756,385",,,"6,561",0,"9,574",,,18,0,1/27/22 14:52,Not agree,Not agree
1/26/22,NYC,"2,221,782","1,885,150","336,632","6,140",543,"38,041","32,593","5,448",116,3,1/27/22 14:52,Agree,Agree
1/26/22,HI,"204,085",,,"2,021",233,"1,137",,,2,0,1/27/22 14:52,Not agree,Not agree
1/26/22,GA,"2,306,025","1,791,344","514,681","17,332","3,447","32,603","27,284","5,319",115,22,1/27/22 14:52,Agree,Agree
1/26/22,PR,"450,265","255,719","194,546","1,727",793,"3,773","3,144",629,19,7,1/27/22 14:52,Agree,Agree
